Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sean-john-tracksuit-top,Sean John Tracksuit Top,,The 00s Version,,Outerwear,"new, limited",TRUE,Size,L,Color,Navy,SJ-TRACK-L-NVY,400,shopify,8,deny,manual,79.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
sean-john-tracksuit-top,Sean John Tracksuit Top,,The 00s Version,,Outerwear,"new, limited",TRUE,Size,XL,Color,Navy,SJ-TRACK-XL-NVY,400,shopify,5,deny,manual,79.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
sean-john-tracksuit-top,Sean John Tracksuit Top,,The 00s Version,,Outerwear,"new, limited",TRUE,Size,S,Color,Black,SJ-TRACK-S-BLK,400,shopify,6,deny,manual,79.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
sean-john-tracksuit-top,Sean John Tracksuit Top,,The 00s Version,,Outerwear,"new, limited",TRUE,Size,M,Color,Black,SJ-TRACK-M-BLK,400,shopify,8,deny,manual,79.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
fubu-league-tee,FUBU League Tee,"<p>Heavyweight oversized tee with bold FUBU-era graphic print. 100% premium cotton, cut for that authentic 00s oversized fit.</p><ul><li>350gsm ring-spun cotton</li><li>Oversized silhouette</li><li>Screenprinted graphic</li><li>Reinforced collar</li></ul>",The 00s Version,Apparel & Accessories > Clothing > Tops,T-Shirts,new,TRUE,Size,S,Color,White,FUBU-TEE-S-WHT,280,shopify,15,deny,manual,59.00,,TRUE,TRUE,,1,,FALSE,FUBU League Tee — The 00s Version,Heavyweight oversized graphic tee inspired by 2000s FUBU era.,,Male,Adult,FUBU-TEE,new,,,g,,,active
fubu-league-tee,FUBU League Tee,,The 00s Version,,T-Shirts,new,TRUE,Size,M,Color,White,FUBU-TEE-M-WHT,280,shopify,20,deny,manual,59.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
fubu-league-tee,FUBU League Tee,,The 00s Version,,T-Shirts,new,TRUE,Size,L,Color,White,FUBU-TEE-L-WHT,280,shopify,18,deny,manual,59.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
fubu-league-tee,FUBU League Tee,,The 00s Version,,T-Shirts,new,TRUE,Size,XL,Color,White,FUBU-TEE-XL-WHT,280,shopify,12,deny,manual,59.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
fubu-league-tee,FUBU League Tee,,The 00s Version,,T-Shirts,new,TRUE,Size,S,Color,Black,FUBU-TEE-S-BLK,280,shopify,15,deny,manual,59.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
fubu-league-tee,FUBU League Tee,,The 00s Version,,T-Shirts,new,TRUE,Size,M,Color,Black,FUBU-TEE-M-BLK,280,shopify,20,deny,manual,59.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
fubu-league-tee,FUBU League Tee,,The 00s Version,,T-Shirts,new,TRUE,Size,L,Color,Black,FUBU-TEE-L-BLK,280,shopify,18,deny,manual,59.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
phat-farm-cargo,Phat Farm Cargo Pants,<p>Technical cargo pants with authentic early 2000s silhouette. Multiple utility pockets with a modern tailored finish.</p><ul><li>Heavy-duty cotton twill</li><li>6 utility pockets</li><li>Adjustable waistband with belt loops</li><li>Straight-leg cut</li><li>Zip-close ankle</li></ul>,The 00s Version,Apparel & Accessories > Clothing > Bottoms,Bottoms,"new, limited",TRUE,Size,S,Color,Khaki,PF-CARGO-S-KHK,650,shopify,8,deny,manual,99.00,,TRUE,TRUE,,1,,FALSE,Phat Farm Cargo Pants — The 00s Version,Technical cargo pants with authentic early 2000s silhouette.,,Male,Adult,PF-CARGO,new,,,g,,,active
phat-farm-cargo,Phat Farm Cargo Pants,,The 00s Version,,Bottoms,"new, limited",TRUE,Size,M,Color,Khaki,PF-CARGO-M-KHK,650,shopify,10,deny,manual,99.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
phat-farm-cargo,Phat Farm Cargo Pants,,The 00s Version,,Bottoms,"new, limited",TRUE,Size,L,Color,Khaki,PF-CARGO-L-KHK,650,shopify,8,deny,manual,99.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
phat-farm-cargo,Phat Farm Cargo Pants,,The 00s Version,,Bottoms,"new, limited",TRUE,Size,XL,Color,Khaki,PF-CARGO-XL-KHK,650,shopify,5,deny,manual,99.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
phat-farm-cargo,Phat Farm Cargo Pants,,The 00s Version,,Bottoms,"new, limited",TRUE,Size,S,Color,Black,PF-CARGO-S-BLK,650,shopify,8,deny,manual,99.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
phat-farm-cargo,Phat Farm Cargo Pants,,The 00s Version,,Bottoms,"new, limited",TRUE,Size,M,Color,Black,PF-CARGO-M-BLK,650,shopify,10,deny,manual,99.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
akademiks-varsity,Akademiks Varsity Jacket,"<p>Wool-blend varsity jacket with leather sleeves — the ultimate 00s status piece. Limited run, won't be restocked.</p><ul><li>Wool-blend body, faux leather sleeves</li><li>Full snap-button front</li><li>Ribbed collar, cuffs, and hem</li><li>Two side snap pockets</li><li>Embroidered chest logo</li></ul>",The 00s Version,Apparel & Accessories > Clothing > Outerwear,Outerwear,"new, limited, sale",TRUE,Size,S,Color,Black/Gold,AK-VARSITY-S-BG,900,shopify,4,deny,manual,149.00,199.00,TRUE,TRUE,,1,,FALSE,Akademiks Varsity Jacket — The 00s Version,Wool-blend varsity jacket with leather sleeves. Limited run.,,Male,Adult,AK-VARSITY,new,,,g,,,active
akademiks-varsity,Akademiks Varsity Jacket,,The 00s Version,,Outerwear,"new, limited, sale",TRUE,Size,M,Color,Black/Gold,AK-VARSITY-M-BG,900,shopify,5,deny,manual,149.00,199.00,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
akademiks-varsity,Akademiks Varsity Jacket,,The 00s Version,,Outerwear,"new, limited, sale",TRUE,Size,L,Color,Black/Gold,AK-VARSITY-L-BG,900,shopify,4,deny,manual,149.00,199.00,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
akademiks-varsity,Akademiks Varsity Jacket,,The 00s Version,,Outerwear,"new, limited, sale",TRUE,Size,XL,Color,Black/Gold,AK-VARSITY-XL-BG,900,shopify,3,deny,manual,149.00,199.00,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
timberland-era-set,Timberland Era Tracksuit Set,<p>Complete two-piece tracksuit set sold together — match the full look. Heavyweight French terry in drop-shoulder cut.</p><ul><li>Hoodie + joggers set</li><li>400gsm French terry cotton</li><li>Drop-shoulder silhouette</li><li>Elasticated waistband with drawstring</li><li>Ribbed cuffs and ankles</li></ul>,The 00s Version,Apparel & Accessories > Clothing,Sets,"new, bestseller",TRUE,Size,S,Color,Charcoal,TIMB-SET-S-CHR,1000,shopify,6,deny,manual,139.00,,TRUE,TRUE,,1,,FALSE,Timberland Era Tracksuit Set — The 00s Version,Complete two-piece tracksuit set inspired by the Timberland era.,,Male,Adult,TIMB-SET,new,,,g,,,active
timberland-era-set,Timberland Era Tracksuit Set,,The 00s Version,,Sets,"new, bestseller",TRUE,Size,M,Color,Charcoal,TIMB-SET-M-CHR,1000,shopify,8,deny,manual,139.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
timberland-era-set,Timberland Era Tracksuit Set,,The 00s Version,,Sets,"new, bestseller",TRUE,Size,L,Color,Charcoal,TIMB-SET-L-CHR,1000,shopify,7,deny,manual,139.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
timberland-era-set,Timberland Era Tracksuit Set,,The 00s Version,,Sets,"new, bestseller",TRUE,Size,XL,Color,Charcoal,TIMB-SET-XL-CHR,1000,shopify,4,deny,manual,139.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
era-snapback,Era Snapback Cap,<p>Structured snapback cap with embroidered 00s logo. One size fits all. The finishing touch to any fit.</p><ul><li>6-panel structured crown</li><li>Embroidered front logo</li><li>Adjustable snap closure</li><li>Flat brim</li></ul>,The 00s Version,Apparel & Accessories > Clothing > Accessories,Accessories,new,TRUE,Size,One Size,Color,Black,ERA-SNAP-OS-BLK,200,shopify,20,deny,manual,39.00,,TRUE,TRUE,,1,,FALSE,Era Snapback Cap — The 00s Version,Structured snapback cap with embroidered 00s logo.,,Male,Adult,ERA-SNAP,new,,,g,,,active
era-snapback,Era Snapback Cap,,The 00s Version,,Accessories,new,TRUE,Size,One Size,Color,Cream,ERA-SNAP-OS-CRM,200,shopify,20,deny,manual,39.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
era-snapback,Era Snapback Cap,,The 00s Version,,Accessories,new,TRUE,Size,One Size,Color,Gold,ERA-SNAP-OS-GLD,200,shopify,15,deny,manual,39.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
